"No.","Time","Source","Destination","Protocol","Length","Info"
"9","0.003600","::1","::1","MQTT","78","Connect Command"
"11","0.006684","::1","::1","MQTT","68","Connect Ack"
"15","0.006796","::1","::1","MQTT","89","Subscribe Request (id=1) ['iot/surveillance']"
"17","0.007099","::1","::1","MQTT","69","Subscribe Ack (id=1)"
"22","3.043925","::1","::1","MQTT","78","Connect Command"
"27","3.044290","::1","::1","MQTT","68","Connect Ack"
"33","3.045502","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"35","3.045581","::1","::1","MQTT","87","Subscribe Request (id=2) [iot/surveillance]"
"39","3.045725","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"43","3.046097","::1","::1","MQTT","69","Subscribe Ack (id=2)"
"47","3.046197","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"49","3.046301","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"53","3.046373","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"57","3.046520","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"59","3.046543","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"61","3.046653","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"63","3.046702","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"67","3.046763","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"69","3.046895","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"73","3.047008","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"75","3.047100","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"77","3.047278","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"81","3.047435","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"85","3.048099","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"87","3.048132","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"89","3.048341","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"91","3.048569","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"95","4.048666","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"99","4.049174","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"100","4.049189","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"105","4.049404","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"107","4.049496","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"110","4.049682","::1","::1","MQTT","564","Publish Message [iot/surveillance]"
"113","4.049858","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"115","4.050152","::1","::1","MQTT","564","Publish Message [iot/surveillance]"
"121","4.050773","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"125","4.051041","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"127","4.051198","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"131","4.051337","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"133","4.051508","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"137","4.051714","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
