"No.","Time","Source","Destination","Protocol","Length","Info"
"45","7.695725","::1","::1","MQTT","78","Connect Command"
"47","7.699744","::1","::1","MQTT","68","Connect Ack"
"51","7.699930","::1","::1","MQTT","89","Subscribe Request (id=1) ['iot/surveillance']"
"53","7.700301","::1","::1","MQTT","69","Subscribe Ack (id=1)"
"74","11.879385","::1","::1","MQTT","78","Connect Command"
"76","11.879666","::1","::1","MQTT","68","Connect Ack"
"87","11.881438","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"89","11.881642","::1","::1","MQTT","87","Subscribe Request (id=2) [iot/surveillance]"
"92","11.881763","::1","::1","MQTT","565","Publish Message [iot/surveillance]"
"95","11.881891","::1","::1","MQTT","69","Subscribe Ack (id=2)"
"99","11.882055","::1","::1","MQTT","565","Publish Message [iot/surveillance]"
"101","11.882117","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"103","11.882288","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"104","11.882293","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"109","11.882450","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"111","11.882574","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"116","11.884024","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"117","11.884067","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"120","11.884207","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"122","11.884287","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"124","11.884402","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"126","11.884540","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"129","11.884734","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"132","11.884768","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"134","11.884979","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"138","11.885632","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"140","11.885915","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"150","12.887536","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"156","12.888201","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"157","12.888237","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"160","12.888690","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"164","12.888802","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"165","12.889066","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"171","12.889380","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"173","12.889741","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"176","12.889812","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"178","12.890035","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"182","12.890221","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"183","12.890243","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"186","12.890413","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"187","12.890543","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"191","12.890656","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"192","12.890860","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"194","12.890934","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"195","12.891241","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"197","12.891560","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"199","12.891867","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"207","13.891840","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"211","13.892046","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"213","13.892138","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"215","13.892375","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"219","13.893181","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"223","13.893502","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"229","13.894996","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"231","13.895234","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"233","13.895292","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"236","13.895466","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"239","13.895503","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"241","13.895532","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"243","13.895716","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"246","13.895951","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"249","13.896441","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"251","13.896672","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"257","13.897695","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"259","13.897782","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"261","13.897908","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"263","13.898086","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"273","14.898351","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"277","14.899312","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"278","14.899332","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"283","14.899550","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"286","14.899822","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"289","14.899876","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"291","14.900195","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"295","14.900562","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"297","14.901243","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"299","14.901770","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"305","14.903037","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"307","14.903181","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"311","14.903407","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"313","14.903581","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"316","14.903940","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"319","14.904225","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"321","14.904323","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"325","14.904608","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"326","14.904619","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"329","14.904928","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"339","15.906317","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"343","15.906593","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"347","15.906918","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"349","15.906975","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"351","15.907325","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
